tipo_poder_id	tipo_poder_nombre	categoria	entidad_id	entidad_nombre	cantidad
-1	Poder Ejecutivo	TRABAJO Y PROMOCIÓN DEL EMPLEO	107	SEGURO SOCIAL DE SALUD (ESSALUD)	83925
-1	Poder Ejecutivo	SALUD	143	MINISTERIO DE SALUD (MINSA)	29682
4	Organismos autónomos		10044	MINISTERIO PÚBLICO FISCALÍA DE LA NACIÓN (MPFN)	28436
2	Poder Judicial		22863	CORTE SUPERIOR DE JUSTICIA DE LA SELVA CENTRAL (CSJSC)	13837
2	Poder Judicial		10221	CORTE SUPERIOR DE JUSTICIA DE LORETO (D.J. LORETO)	13837
2	Poder Judicial		21863	CORTE SUPERIOR DE JUSTICIA DE PUENTE PIEDRA - VENTANILLA (CSJPPV)	13837
2	Poder Judicial		16372	CORTE SUPERIOR DE JUSTICIA DE SULLANA (CSJSU)	13837
2	Poder Judicial		10051	PODER JUDICIAL (PJ)	13837
-1	Poder Ejecutivo	ECONOMÍA Y FINANZAS	83	SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACIÓN TRIBUTARIA (SUNAT)	12348
-1	Poder Ejecutivo	JUSTICIA	182	INSTITUTO NACIONAL PENITENCIARIO (INPE)	11440
-1	Poder Ejecutivo	ECONOMÍA Y FINANZAS	148	BANCO DE LA NACIÓN (BN)	10088
5	Gobiernos locales		1434	MUNICIPALIDAD METROPOLITANA DE LIMA (MUNLIMA)	8329
4	Organismos autónomos		10428	UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS (UNMSM)	7986
5	Gobiernos locales		10042	MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO (MSS)	6328
7	Gobiernos regionales		14205	DIRECCIÓN REGIONAL DE EDUCACIÓN LIMA METROPOLITANA (DRELM)	5749
4	Organismos autónomos		19	LA CONTRALORÍA GENERAL DE LA REPÚBLICA (CGR)	5051
-1	Poder Ejecutivo	DEFENSA	11794	MARINA DE GUERRA DEL PERÚ (MGP)	5033
